IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.38.91,4,4,0.00,102.47,16.06
172.64.52.88,4,4,0.00,65.34,15.93
172.64.229.224,4,4,0.00,78.23,15.90
172.64.35.161,4,4,0.00,103.12,15.69
172.64.53.102,4,4,0.00,65.27,15.25
172.64.41.231,4,4,0.00,100.80,15.09
172.64.151.224,4,4,0.00,103.12,15.07
172.64.47.172,4,4,0.00,102.96,0.00
172.64.46.42,4,4,0.00,103.06,0.00
172.64.36.142,4,4,0.00,99.55,0.00
